address,restaurant,type,region,food_subtype
11 MacKenzie Rd Singapore 228675,Pondok,"Indian, Bars",CENTRAL,indian#beer#whisky#beef#sambal
25 Mackenzie Rd Singapore 228681,Chef Kang's Noodle House,Chinese,CENTRAL,soup#pork#fish#coffee#ice cream#coconut#teochew#kway teow#fried fish#fish soup#coconut ice#coconut ice cream#tea#egg#michelin#shrimp#char siew#wanton#noodle
11 Upper Wilkie Road Singapore 188332,Wild Oats,Cafes,CENTRAL,chicken#fish#cheese#curry#potato#pie#mashed potato#chicken curry#bread#salmon#western#sambal#rojak#hainanese#bruschetta#otah#coleslaw
273 Thomson Road Singapore 307644,Hong Kong Street Family Restaurant,Cantonese,CENTRAL,chicken#soup#pork#fish#prawn#noodle#chinese#fried rice#cantonese#noodle soup#hor fun#prawn paste chicken#fish maw#seafood#squid#kang kong#vegetable#tofu#chicken wing#sambal#dessert#coffee#yam#fried fish#yam paste#cereal prawn#wok hei#beef#kai lan#fried prawn#bee hoon#egg#salted egg#kailan#shrimp#fried chicken#kangkong#potato#sweet potato#fish soup#soft shell crab#sweet sour pork#beehoon#fish head#asian#kway teow#curry#coconut#rice noodle#curry fish#curry fish head#fried chicken wing#lemon#chilli crab#duck#char siew#roast pork#roast duck#roast meat#claypot#indonesian#mian#salted egg yolk
29 Scotts Road Singapore 228224,Ki-sho,"Japanese, Sushi Bars",CENTRAL,sushi#dessert#beef#fish#truffle#sashimi#omakase#urchin#sea urchin#soup#tea#ice cream#tuna#snapper#umami#white truffle#japanese#lobster#oyster#scallop#wagyu#clam#miso#caviar#abalone#whisky#miso soup#cake#michelin#cod#wagyu beef#sashimi sushi#egg#fine dining#salted egg#malaysian#salted egg yolk#crab meat#grill#pork#curry#pork belly#curry rice#asian#desert#tempura#steak#wagyu steak#seafood#italian#fruit#fresh fruit
29 Scotts Rd Singapore 228224,Buona Terra,Italian,CENTRAL,pasta#italian#lamb#chocolate#michelin#wine list#fruit#urchin#sea urchin#wagyu#squid#quail#baby squid#porcini#pork#fish#ham#parma#parma ham
35A Scotts Road Singapore 228228,Indocafe The White House,Indonesian,CENTRAL,fine dining#peranakan#chicken#keluak#buah keluak#dessert#beef#scallop#wagyu#cod#rendang#beef rendang#indonesian#otah#hokkaido scallop#buffet#soup#indian#fish#beer#seafood#cake#curry#bread#ice cream#potato#laksa#squid#coconut#shrimp#octopus#fried chicken#banana#porridge#spinach#sambal#lemak#pie#yam#omelette#teochew#sweet potato#kway teow#rojak#ngoh hiang#stingray#kang kong#cuttlefish#prawn#desert#pineapple#tiger prawn#pork#salad#pork belly#pig#kueh#sesame#beef cheek#cod fish#ayam#nyonya#braised pork#kueh pie#kueh pie tee#chap chye#ayam buah#fresh crab#tea#high tea#kopi#japanese#stew#chendol#coffee#nonya#chinese#chocolate#peranakan cuisine#asian#fried rice#sotong#vietnamese#otak#umami#fruit#chicken curry#pork knuckle#vegetable#panna cotta
"1 Goldhill Plaza, #01-19/21 Goldhill Plaza Singapore 308899",Da Luca Italian Restaurant,Italian,CENTRAL,beef#calamari#crab meat#tagliatelle#penne#porcini#italian#pork#lamb#pork chop#lamb rack#dessert#fish#seafood#pasta#cake#cheese#ice cream#squid#shrimp#risotto#tiramisu#cod#spinach#apple#spaghetti#squid ink#rabbit#white wine#cod fish#egg#truffle#scallop#burrata#salad#duck#grilled pork#soup#mushroom soup#lasagne#pizza#antipasti#fine dining#gnocchi#black truffle#truffle pasta#ricotta#lobster#chocolate#octopus#lava cake#carpaccio#whisky#chocolate lava#chocolate lava cake#beef carpaccio#bruschetta#boiled egg#white truffle#caviar#michelin#bread#wagyu#tartare#vongole#angel hair pasta#crispy pork#steak#spanish#pig#asparagus#suckling pig#wagyu steak#ravioli#poached egg#pork belly#roasted pork#burrata cheese#grilled fish#western#truffle oil#buffet#beer#indian#porterhouse#prawn#pie#grilled octopus#veal#urchin#sea urchin#japanese#ham#gelato#limoncello#hokkaido scallop#boston lobster#pistachio#chinese#desert#lasagna#potato#lamb chop#glass wine#sea bass#coffee#vanilla#strawberry#cold dish#red wine#wagyu beef#linguine#chocolate cake#umami#king crab#crab pasta#chorizo#asian#parma#parma ham#mozzarella#carbonara#bottle wine#sashimi#wine list#tenderloin#chicken#fondant#chocolate fondant#salmon#ink pasta#squid ink pasta#panna cotta#clam#prosciutto#german#foie gras#crabmeat#stew
271 Bukit Timah Road Singapore 259708,Smiths Authentic British Fish And Chips,"British, Fish & Chips",CENTRAL,fish#chicken#curry#cod#pie#fried fish#curry sauce#tea#lemon#burrito#potato#soup
22 Scotts Rd Singapore 228221,Coffee Lounge,"Singaporean, Breakfast & Brunch",CENTRAL,chicken#dessert#buffet#soup#cake#coffee#bread#chicken rice#mango#pancake#durian#porridge#cheesecake#strawberry#kway teow#bee hoon#rojak#char kway teow#dessert buffet#mango pudding#prawn#egg#squid#baby squid#prawn paste chicken#pork#pork belly#salted egg#braised pork#tea#seafood#pasta#salad#italian#chocolate#sushi#ice cream#high tea#desert#nonya#asian#western#vegetarian#cafe#indian#fish#curry#fish curry#taiwanese#breakfast#beef#omelette#kueh#sea bass#red bean#buffet selection#butter pudding#laksa#mee siam#satay#fried rice#fried chicken#mushroom soup#indonesian#curry chicken#tea buffet#high tea buffet#japanese#potato#tofu#sweet potato#kailan
400 Balestier Road Singapore 329802,Tandoori Corner North Indian Curry House,Indian,CENTRAL,chicken#indian#fish#butter chicken#tandoori#daal#north indian#naan#briyani#paneer#chicken tikka#curry#lamb#mutton#biryani#chicken biryani#vegetable#tandoori chicken#soup#samosa#palak#palak paneer#masala#tikka masala#chicken tikka masala#beer
90 Whampoa Drive Singapore 320090,Whampoa Makan Place,Chinese,CENTRAL,fish#prawn#cake#salmon#tofu#porridge#lemak#nasi lemak#fish head#yam#fried fish#ngoh hiang#fish cake#dessert#beef#coffee#duck#chinese#teochew#kway teow#steamboat#rojak#asian#juice#chicken#seafood#oyster#fried rice#omelette#hokkien#hokkien mee#oyster omelette#seafood fried rice#soup#beer#noodle#chicken rice#noodle soup#breakfast
347 Balestier Rd Singapore 329777,Founder Bak Kut Teh,"Chinese, Soup",CENTRAL,dessert#soup#tea#tofu#teh#pig#pork#bak kut teh#rib#pork rib#pork rib soup#american#chicken#chinese#bread#asian#chicken rice#pig trotter#prime rib#pork knuckle#prawn#egg#pork belly#michelin#coconut#fish#seafood#ngoh hiang#fried chicken#donut#vegetable
586 Balestier Road Singapore 329898,Cafe De Hong Kong,Chinese,CENTRAL,pork#fish#egg#dumpling#cafe#fried rice#pork chop#chicken#shrimp#salted egg#roast chicken#salted egg yolk#chicken fried#kang kong#clay pot#tea#coffee#cantonese#crispy chicken#bone marrow#scrambled egg#dessert#seafood#bottle wine#soup#lamb#high tea#tofu#claypot#bee hoon#roasted chicken#milk tea#umami#beehoon#wok hei#beef#chicken rice#prawn#rib#omelette#fried prawn#spare rib#chinese#vegetable#beef brisket
10 Sinaran Dr Singapore 307506,Hansang Korean Family,Korean,CENTRAL,beef#hotpot#steamed rice#korean#buffet#soup#seafood#squid#bbq#bone marrow#pork#prawn#fried rice#pancake#pork belly#tofu#pig#bbq pork#pig trotter#grill
28 Lorong Ampas Singapore 328781,Wheeler's Yard,"Cafes, Bikes",CENTRAL,chicken#tea#coffee#bread#iced tea#garlic bread#cafe#espresso#beef#mango#apple#spaghetti#chilli crab#soup#fish#seafood#salad#breakfast#taco#grilled chicken#squid#calamari#caesar salad#cup coffee#japanese#truffle#truffle fries#snapper#pasta#salmon#cheese#truffle oil#burger#egg#poached egg#prawn#bbq#aglio olio#wagyu#steak#ribeye#ribeye steak#bacon#western
175 Thomson Road Singapore 307624,Nanta BBQ,"Korean, Barbeque",CENTRAL,pork#cheese#bbq#korean#stew#bbq pork
73A Ayer Rajah Crescent Singapore 139957,timbre+,"Food Court, Venues & Event Spaces",WEST,beer#pizza#juice#fruit#american#craft beer#fresh fruit#fruit juice#pork#pork belly#calamari#chicken#soup#indian#egg#japanese#spanish#salted egg#onion soup#teh#teh tarik#fish#salmon#grill#noodle#yakitori#fish soup#salted egg yolk#breakfast#wanton#beef#wagyu#sambal#rendang#wagyu beef#beef rendang#kang kong#tea#masala#butter chicken#cider#pasta#prawn#cake#cheese#potato#lemak#nasi lemak#german#mashed potato#chorizo#chilli crab#coffee#mian#paella#foie gras#cod#miso#duck#sashimi#bak kut teh#confit#duck confit
3 Fusionopolis Way Singapore 138633,Mac's Cafe & Bar,"Asian Fusion, Indian",WEST,chicken#masala#chicken tikka#tikka masala#chicken tikka masala
5 Koek Rd Singapore 228796,Kazu Sumiyaki,Japanese,CENTRAL,chicken#beef#pork#japanese#wagyu#pork belly#bacon#wagyu beef#oyster#yam#sashimi#yakitori#grilled meat#potato#scallop#foie gras#sweet potato#barbecue#egg#lamb#apple#meatball#soup#fish#cheese#crepe#fish soup#izakaya#tea#pancake#satay#fried rice#squid#avocado#maki#prawn#bbq#miso#fresh sashimi#umami#unagi#fish cake#fish skin#dessert#chocolate#salmon#ice cream#octopus#fresh oyster#ebi#beer#urchin#sea urchin#sushi#tempura#asparagus#espresso#seafood#fine dining#strawberry#beef brisket#steak#abalone#wagyu steak#tuna#omakase#lobster
391 Orchard Rd Singapore 238872,Food Village @ Takashimaya,Food Court,CENTRAL,durian#japanese#sushi#pig#cake#carrot cake#seafood#dim sum#curry#chinese#curry puff#italian#noodle#char siew#dessert#coffee#mango#pho#vietnamese#duck#roast duck#german#chicken#desert#chicken rice
27 Cuppage Terrace Singapore 229455,Newton Circus,Food Stands,CENTRAL,
401 Havelock Rd Singapore 169631,Ikoi Japanese Restaurant,Japanese,SOUTH,soup#sushi#sashimi#shrimp#tempura#sushi sashimi#buffet#japanese#hokkien#fish#salmon#tuna#michelin#chicken#octopus#fried chicken#unagi#snapper#cheese#egg#grill#salmon sashimi#teriyaki#fried rice#tofu#buffet style#vegetable#bacon#yakitori#dessert#tea#seafood#seafood soup#sashimi sushi#fish head#ice cream#ebi#porridge#fried fish#fish skin#grilled fish#fresh sashimi#steamboat#pork#noodle#rice noodle#mackerel#cocktail#potato#croquette#miso#chinese#asian#tonkatsu#maki#umami#grilled chicken#miso soup#sweet potato#cuttlefish#teppanyaki#grilled meat#fresh seafood#udon#beef
60 Eu Tong Sen St Singapore 059804,Tiffany Café,"International, Buffets",CENTRAL,buffet#bread#salmon#sashimi#durian#yam#salmon sashimi#mee siam
Blk 147 Silat Road Singapore 160147,Fatty Aunt Yong Tau Foo,Chinese,SOUTH,laksa#bak chor mee#yam#soup#noodle
175A Chin Swee Rd Singapore 169879,Re!Fill Restaurant,Singaporean,SOUTH,soup#seafood#prawn#lobster#laksa#abalone#bisque#lobster bisque#dessert#fish#salad#ice cream#western#juice#mango
403 Havelock Road Singapore 169632,Princess Terrace,Buffets,SOUTH,dessert#buffet#soup#pork#tea#seafood#laksa#teh#banana#porridge#pig#pie#kueh#hokkien#popiah#kway teow#hokkien mee#crayfish#gula melaka#teh tarik#char kway teow#crispy pork#kueh pie#wok hei#mee sua#kueh pie tee#indian#noodle#duck#curry#chinese#fruit#tofu#chicken#vegetable#pancake#fresh seafood#curry chicken#nonya#salad#mango#pineapple#caramel#bee hoon#mousse#ayam#rojak#fried fish#malaysian#otak#duck meat#lemon#peranakan#cafe#prawn#prawn mee
Upper Cross St Singapore 058357,Vegetarian House,Congee,CENTRAL,chinese#japanese#congee#donut
403 Havelock Rd Singapore 169632,Princess Cafe,Cafes,SOUTH,buffet#buffet style
99 Pasir Panjang Rd Singapore 118517,Manhill Restaurant,Cantonese,WEST,chicken#beef#cantonese#claypot#beef brisket#pork#fish#prawn#chinese#squid#fried fish#soup#oyster#omelette#garlic prawn#kangkong#clay pot#pork chop#fried prawn#kai lan#sambal#indonesian#dessert#japanese#noodle#tofu#cantonese cuisine#bbq#bbq pork#rib#pork rib#coffee#fried noodle#kang kong#fish head#western#crab meat#fried pork#egg#crabmeat#chicken rice#hor fun#tea#fried rice
726 Clementi West St 2 Singapore 120726,West Coast Market And Food Centre,Food Court,WEST,cake#carrot cake
91 Pasir Panjang Rd Singapore 118512,Hakim,Middle Eastern,WEST,soup#egg#mutton#prata
130 Pasir Panjang Road Singapore 118548,E-Sarn Thai Corner,Thai,WEST,soup#pork#fish#seafood#salad#vegetable#mango#yam#omelette#tom yam#seafood soup#curry#green curry#grilled pork#kang kong#chicken#coconut#pad thai#tom yum#fried fish#cake#noodle#fish cake#fried rice#icecream#mango sticky rice#soft shell crab
87 Pasir Panjang Rd Singapore 118510,Nakhon Kitchen,"Asian,Thai",WEST,pork#prawn#yam#omelette#pandan#tom yam#chicken#fish#tea#cake#fried rice#fish cake#iced tea#soup#curry#green curry#kang kong#salad#mango#crayfish#mango sticky rice#ice tea#asian#kway teow#tom yum#seafood#spring roll#pad thai#lemon#curry chicken#milk tea#tom yum soup#squid#pineapple#beef#dessert#garlic prawn#fried pork#papaya#asparagus#sambal#kangkong#coconut#seafood fried rice#juice#egg#salted egg#red curry#kai lan#sweet sour pork#fried fish#laksa#teh#chicken curry#teh tarik#coffee#oyster#noodle#noodle soup#vegetarian#seafood soup#desert#fried chicken#chicken wing#cereal prawn#squid ink#fried prawn#beer#fresh seafood#shrimp#cafe#glutinous rice#crab meat#chicken soup#fish curry#otah#wok hei
121 Pasir Panjang Road Singapore 118543,Pasir Panjang Food Centre,Food Court,WEST,fish#vegetarian#chicken#fried rice#banana#chicken fried#kai lan
Blk 625 Elias Road Singapore 510625,Fa Fa Hainanese Chicken Rice,Chinese,EAST,chicken#pork#chicken rice#char siew#roasted pork
Block 443 Pasir Ris Dr 6 Singapore 510443,Coffee Express 2000,Food Court,EAST,chicken#western#coffee#duck#japanese
444 Pasir Ris Drive 6 Singapore 510444,Western Food,Food Court,EAST,chicken#pasta#coffee#western#halal#chicken wing
Pasir Ris Singapore 129781,Sakura International Buffet,Buffets,WEST,dessert#buffet#cake#japanese#sushi#sashimi#peranakan#durian#pie#yam#strawberry#keluak#mousse#ayam#buah keluak#ayam buah#yam paste#coffee#asian#western#international buffet#soup#steamboat#seafood#salmon#ice cream#hokkien#abalone#hokkien mee#shark fin#pizza#fresh seafood#hotpot#chinese#malaysian#salmon sashimi#chicken#pasta#salad#egg#dim sum#oyster#chocolate#potato#laksa#chicken rice#tofu#prata#lava cake#rojak#ngoh hiang#siew mai#gula melaka#milo#chilli crab#mantou#halal#sushi sashimi#buffet style#tempura#teppanyaki#mango#pancake#salted egg#salted egg yolk#durian pengat#indian#italian#lobster#desert#gelato#beef#prawn#waffle#roast beef#king crab#fish#cheese#satay#banana#calamari#omelette#mac cheese#mushroom soup#carrot cake#rabbit#hainanese#cappuccino#otah#hainanese chicken#oyster omelette#prawn mee#fried prawn#wok hei#prawn paste chicken
L3 Singapore 519636,Cookhouse by Koufu,Food Court,EAST,soup#japanese#hotpot
48 Woodleigh Park Singapore 357844,Cafe Football,"Pubs, Cafes",EAST,pasta#pizza#coffee#lobster#cafe#satay#tuna#lamb#lamb shank#salad#burger#calamari#american#beer
95B Pulau Ubin North Eastern Islands 508325,Christina Floating Resturant,Seafood,EAST,seafood#fresh seafood#mee goreng
59E Pulau Ubin Singapore 508309,Season Live Seafood,Seafood,EAST,seafood#chicken#coconut#chicken dish#shrimp#fish#chinese#fried rice#wok hei#mee goreng
108 Punggol Field Singapore 820108,Master Crab Seafood Restaurant,Seafood,"NORTH,EAST",chicken#seafood#prawn#egg#fried rice#bee hoon#beehoon#prawn paste chicken#crab bee hoon#mantou#asparagus#crab meat#tofu#spicy chicken#hor fun#wok hei#mee goreng#chinese#bread#lobster#salmon#chili crab#mud crab#salted egg#pork#fish#fried fish#pepper crab
168 Punggol Field Singapore 820168,Koufu,Chinese,"NORTH,EAST",noodle#duck#vegetarian#claypot#mian#fish#western#soup#chinese#fish soup#chicken#pork#indian#tea#chicken rice#yam#milk tea#coffee#cup coffee#egg#japanese#sambal#curry#juice#apple#roast duck#dim sum#pau#fruit#prata#sesame#fresh fruit#salad#sichuan#hotpot#mala
356 Alexandra Rd Singapore 159949,Ristorante Takada,Italian,SOUTH,dessert#fish#chocolate#omakase#italian#soup#seafood#pasta#salad#oyster#squid#octopus#squid ink#avocado#fresh seafood#miso#allergy#miso soup#baguette#guacamole#chicken#pork#bread#scallop#foie gras#pork belly#ham#iberico#rabbit#roasted pork#roasted chicken#prawn#cheese#chinese#egg#dumpling#japanese#sushi#sashimi#risotto#tiramisu#calamari#tartare#antipasti#umami#popcorn#prawn dumpling#ebi#steak#vegetable#wagyu#mango#tuna#burrata#tenderloin#urchin#sea urchin#parma#seabass#parma ham#quail#fried fish#burrata cheese#beef#wagyu beef#asparagus#beef cheek#iberico pork#cake#fruit#lemon#carpaccio#braised beef#cappuccino#hokkaido scallop#wagyu steak#desert#bottle wine#coffee#cocktail#bacon#spaghetti#mushroom soup#carbonara#bruschetta#meringue#pork chop#ink pasta#squid ink pasta#tagliatelle#gratin
1 Club St Singapore 069400,Fotia,"Greek, Seafood",CENTRAL,lamb#greek#cheese#dessert#chicken#pita#salad#greek salad#beef#pasta#lasagna#octopus#coffee#fish#kebab#vegetarian#bread#pita bread#wine list#red wine#sesame#mediterranean#cocktail#beer#tea#vegan#sandwich#cafe#spinach#mackerel#artichoke#moussaka#desert#potato#chocolate#baklava
63 Chulia St Singapore 049514,The Rotisserie,American (Traditional),CENTRAL,chicken
116 Telok Ayer Street Singapore 068585,Marukyu,Japanese,CENTRAL,japanese#sushi#sashimi#bbq#korean#cod#korean bbq#chicken#ice cream#sesame#fish#udon#ebi#malaysian#wagyu#omakase#truffle#teriyaki
118 Telok Ayer Singapore 068587,Free the Robot,"Cafes, Coffee & Tea",CENTRAL,coffee#bread#coconut#cafe#vanilla#salad#avocado#breakfast#espresso#brioche#pasta#cake#burger#egg#truffle#salmon#tuna#smoked salmon#truffle oil#muffin#juice
12 North Canal Rd Singapore 048825,Dehesa,Spanish,CENTRAL,beef#pork#seafood#breakfast#chinese#bread#vegetable#potato#fruit#squid#octopus#spanish#paella#burrata#pig#apple#squid ink#red wine#suckling pig#bone marrow#chorizo#charcuterie#braised beef#ice cream#sandwich#pandan#pulled pork#pasta#salad#desert#tagliatelle#ragu
112 Amoy St Singapore 069932,Employees Only,"Bars, American (Traditional)",CENTRAL,tartare#cocktail#chicken#dessert#soup#beef#pork#steak#salad#cake#chocolate#octopus#apple#pork chop#chocolate cake#sea bass#cheesecake#chicken soup#beef tartare#porterhouse#champagne#pineapple#juice#sangria#american#egg#lemon#fried chicken#bone marrow#burger#hummus#bread#scrambled egg#pasta#lychee#mojito#shrimp#margarita#espresso#whisky#asparagus#ribeye#gin tonic#steak tartare#beer#lamb#bacon#potato
27 Boon Tat St Singapore 069623,A Poke Theory,"Hawaiian, Salad, Juice Bars & Smoothies",CENTRAL,chocolate#coconut#banana#dark chocolate#american#milo#sushi#salmon#tuna#avocado#pineapple#sesame#salad#quinoa#fish#japanese#lemon#miso#juice
1B Fullerton Road Singapore 049212,Breakfast Buffet,Buffets,CENTRAL,buffet#indian#breakfast#japanese#american#breakfast buffet
1091A Lower Delta Rd Singapore 169207,Chuan Kee Seafood,Seafood,SOUTH,fish#chinese#shrimp#fish head#nonya#pork#seafood#ice cream#beef#kai lan#coffee#duck#tofu#yam#stew#hokkien#hokkien mee#hotpot#chicken#prawn#egg#lemon#omelette#hor fun#pepper crab#black pepper crab#curry#spinach#salted egg#fish head curry#fried fish#kailan#fish skin
Blk 118 Depot Lane Singapore 109754,Wong Kee Noodle,Asian Fusion,SOUTH,dumpling#lemon
119 Bukit Merah Lane 1 Singapore 151119,Fine Taste Eating House,Restaurants,SOUTH,beer#burger#stew#cider
413 River Valley Rd Singapore 248311,Lao You Xuan Noodle Kitchen,"Singaporean, Noodles, Soup",CENTRAL,soup#fish#seafood#bee hoon#seafood soup#mee sua#steamed rice#fish skin
421 River Valley Rd Singapore 248320,Al Afrose Restaurant,"Pakistani, Indian",CENTRAL,chicken#curry#prata#chicken curry#indian#naan#lassi#vindaloo#dessert#soup#fish#mutton#teh#teh tarik
53 Zion Rd Singapore 247778,Jin Tian Seafood Stir Fried Delights,Seafood,CENTRAL,chicken#chinese#egg#bbq#abalone
1 Kim Seng Promenade Singapore 237994,Al Dente Pronto,Italian,CENTRAL,chicken#dessert#pasta#breakfast#carbonara#gelato
392 Havelock Road Singapore 169663,Nagae,Japanese,SOUTH,dessert#soup#japanese#salmon#sashimi#miso#udon#miso soup#sushi#ice cream#desert#maki#omakase#prawn#tempura#teriyaki#salad#avocado
419 River Valley Rd Singapore 248318,Five Star Hainanese Cuisine,Chinese,CENTRAL,chicken#soup#seafood#egg#chicken rice#hor fun#tofu#chicken tender
7 Mohammed Sultan Road Singapore 238957,Table At 7,"Indonesian, Australian",CENTRAL,pork#salmon#asian#pork belly#indonesian#crispy pork#chicken#curry#fine dining#coconut#pig#chicken curry#suckling pig#salad#prawn#italian#potato#octopus#linguine#mash potato#dessert#duck#ice cream#quail#coconut ice#coconut ice cream#cod#lemak#vanilla#vanilla ice cream#soup#fish#foie gras#rendang#apple#ravioli#oxtail
28 Mohamed Sultan Rd Singapore 238972,The English House by Marco Pierre White,British,CENTRAL,coffee#breakfast#egg#bacon#porridge#avocado#poached egg
11 Unity St Singapore 237995,Masa Steak & Hamburg,"Steakhouses, Japanese",CENTRAL,beef#steak#hamburger#cheese#bbq#tartare#japanese#wine list#grill#burrata#sirloin#waygu#ribeye#tenderloin#steak house#yakiniku
18 Mohamed Sultan Road Singapore 238967,The Burger Office,Burgers,CENTRAL,burger
"#01-12, Robertson Walk, 11 Unity Street Singapore 237995",Cappadocia Cafe Restaurant,Mediterranean,CENTRAL,chicken#spaghetti#hummus#kebab#meatball#mediterranean
33 Mohamed Sultan Rd Singapore 238977,Yumeya,Japanese,CENTRAL,beef#fish#salad#salmon#sashimi#fried rice#unagi#sesame#soft shell crab#salmon sashimi#mackerel#soup#seafood#fruit#miso#miso soup#tonkatsu#tuna#maki#japanese#sushi#squid#tenderloin#grilled squid#pork#tempura#white wine#sushi sashimi#udon
1 Nanson Rd Singapore 238909,Wolfgang's Steakhouse,Steakhouses,CENTRAL,beef#steak#salad#cake#shrimp#bacon#spinach#ribeye#steakhouse#bisque#crab meat#crab cake#porterhouse#dessert#soup#wine list#tenderloin#rib eye#filet mignon
30 Robertson Quay Singapore 238251,Sugisawa,Japanese,CENTRAL,japanese#unagi#prawn#udon#salad#salmon#sashimi#potato#tuna#pork#tea#vegetable#cod#avocado#black cod#ramen#sushi#fresh sashimi
218 Sumang Walk Singapore 821217,218 Centre Hokkien Mee,Singaporean,"NORTH,EAST",cake#hokkien#carrot cake#hokkien mee#coffee#wok hei
600 Ponggol Seventeenth Avenue Singapore 829734,Sakura Charcoal Grilled & Shabu Shabu,Japanese,"NORTH,EAST",chicken#buffet#beef#pork#seafood#sushi#salmon#scallop#squid#grill#shrimp#bbq#hot pot
22 Jalan Tampang Singapore 758966,You Huak Restaurant: Sembawang White Bee Hoon,Chinese,NORTH,chicken#prawn#egg#tofu#spinach#salted egg#salted egg yolk#mantou#potato#sambal#sweet potato#bee hoon#hor fun#fried tofu#seafood#fried chicken#beehoon#kang kong#shrimp#pork#breakfast#vegetable#squid#indonesian#ngoh hiang#kangkong#fish#fish head#fried fish#chinese#dessert#mee goreng
3 Jalan Legundi Singapore 759266,Sum's Kitchen & Hong Kong Roasted Meat,Chinese,NORTH,pork#fish#duck#fish head#roast duck
Jln Legundi Singapore 759263,Chye Lye Curry Fish Head,Seafood,NORTH,chicken#fish#curry#fish head#fish head curry#roast chicken
4 Jalan Tampang Singapore 758948,Sembawang Traditional Claypot Rice,Chinese,NORTH,chicken#soup#vegetable#claypot#beehoon#clay pot
1030 Sembawang Rd Singapore 758501,Sunset Grill & Pub,American (Traditional),NORTH,grill#beer#chicken#tartar
12F Andrews Avenue Singapore 759930,Woody Family Cafe,Cafes,NORTH,fish#salad#tempura
1036 Sembawang Road Singapore 758504,1036 Eating House,Singaporean,NORTH,
1036 Sembawang Rd Singapore 758504,1036 Live Seafood,"Chinese, Seafood",NORTH,soup#seafood#egg#clam#salted egg#salted egg crab#fresh crab#chicken#beef#bbq#fried chicken#stingray#chili crab#fish#tofu#claypot#crab meat#pepper crab#black pepper crab#fried rice#pork#beer#oyster#potato#omelette#oyster omelette#mee goreng#prawn#satay
592 Sembawang Rd Singapore 758451,D'rubinah,"Thai, Indian, Malaysian",NORTH,
59 Anchorvale Rd Singapore 544965,Legend Kopitiam,"Bistros, Coffee & Tea, Chinese","NORTH,EAST",chicken
"Blk 297C, Compassvale Street Singapore 545297",That Coffee Place,"Coffee & Tea, Chinese","NORTH,EAST",coffee
21 Ocean Way Singapore 098374,The Kitchen Table,International,SOUTH,pork#satay#buffet#indian#coffee#breakfast#bread#western#breakfast buffet#seafood#salad#burger#cheese#lobster#chocolate#salmon#sashimi#ice cream#laksa#naan#tuna#lemak#nasi lemak#tandoori#king crab#naan bread#seafood buffet#chinese#japanese#apple#panna cotta#alaskan king#alaskan king crab
50 Siloso Beach Walk Singapore 099000,Coastes,"Beach Bars, Delis",SOUTH,salad#cheese#breakfast#greek#greek salad#fish#curry#bbq#pasta#lemon#calamari#spaghetti#asparagus#tartar#pizza#bacon#barbecue#burger#cafe#dessert#seafood#lobster#stew#crab meat#chilli crab#mantou#chicken#beef#sandwich#ham#cappuccino#beer#chicken curry#asian#western#green curry#coffee#tea#milo#salmon#rosti#smoked salmon#bread#espresso#cocktail#mojito#vongole#risotto#fruit#carbonara#coconut#avocado#japanese#chinese#penne#soup#noodle#noodle soup#beef burger#juice#laksa#mango#ice cream#waffle#seafood soup#rib#margarita
1 The Knolls Singapore 098297,Bob's Bar,"Desserts, Cafes, Bars",SOUTH,dessert#pizza#cocktail#lamb#bbq#mango#shrimp#spanish#gula melaka
8 Sentosa Gateway Singapore 098269,Ocean Restaurant,"Seafood, International",SOUTH,fish#fine dining#dessert#beef#lobster#rib#wagyu#short rib#bisque#lobster bisque#striploin#chicken#soup#lamb#chocolate#salmon#fruit#banana#bacon#lemon#pistachio#mousse#brioche#lamb rack#dark chocolate#cake#michelin#western#michelin star#bread#desert#bottle wine#oyster#ice cream#cod#cod fish#fried rice#tuna#caviar#abalone#asparagus#pumpkin soup#pork#prawn#pork belly#char siew#tenderloin#meatball#seabass#tiger prawn#beef tenderloin#cold dish#chocolate cake#salad#teh#bak kut teh#braised beef#seafood#mango#mussel#ice cream dessert#wagyu beef#coffee#cafe#chinese#grill#pasta#italian#asian#juice#chicken rice#champagne#vanilla#vanilla ice cream#risotto#bbq#clam#small cake
40 Siloso Beach Walk Southern Islands 098996,Baristart Coffee Sentosa,Cafes,SOUTH,coffee
60 Siloso Beach Walk Southern Islands 098997,Good Old Days,Asian Fusion,SOUTH,chicken#soup#briyani#chicken tender#chicken rice#lobster#buffet#desert#fish#cake#vegetable#asian#fruit#tofu#satay#rendang#milo#chicken satay#thali#seafood#chinese#dessert#tea#juice#coconut#lemak#nasi lemak#chendol#gula melaka#beef#hor fun#fried rice#grill#indian#laksa#western#vegetarian#salad#cafe#halal#curry#chicken soup#bee hoon#burger#beehoon#biryani#chicken biryani#chicken dish#szechuan#noodle#michelin#michelin star#rice chicken#lamb#pork#lemon#pork chop#kway teow
"327, Upper Paya Lebar Rd Singapore 534947",Geylang Prawn Noodle,"Chinese, Noodles","NORTH,EAST",soup#pork#prawn#noodle#prawn noodle#ngoh hiang#umami#fish#shrimp#tofu#fried fish#fried tofu#rib#pork rib#pig#kway teow#bee hoon#prawn mee#chinese#noodle soup#sambal#claypot
2 Braddel Rd Singapore 359895,Hong Chang Eating House,Chinese,EAST,chicken#fish#potato#michelin#juice#porridge#sambal#frog#kailan#stingray#seafood#coffee#claypot#sweet potato#sotong#bbq#grill
